source_site,category_url,article_url,article_title,article_published_at,article_views,comment_index,comment,author,comment_date,likes,dislikes,scraped_at
dir.bg,https://dir.bg/topic/predsrochni-izbori-2026,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",2026-06-12 05:57:09,0,1,"И къде се видя положителното на това правителство. Минаха повече от 40 дни от управлението. Това, което направиха е, да не си замразят заплатите и да слушаме прайма, колко е пропуски настроен. Скоро ще дойдат 100те дни. Тогава оправданията ще продължат и, най-вече, ще разберат, че изпълнителната власт не е, като президентство!",Ххх (нерегистриран),,1,0,2026-06-12 05:57:09
dir.bg,https://dir.bg/topic/predsrochni-izbori-2026,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",2026-06-12 05:57:09,0,2,"Няма нито една дясна и не русофилистична партия у нас, няколко са маскирани като проевропейски за заблуда и усвояване на евросредства: ГЕРБ, ПП, ДБ, ДПС, но са клонинги на БКП/ДС",Русофилистия до побъркване (нерегистриран),,1,0,2026-06-12 05:57:09
dir.bg,https://dir.bg/topic/predsrochni-izbori-2026,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",2026-06-12 05:57:09,0,3,"Според статистиката, 80 процента от популациите във някой страни са дебилни, това доказаха изборите у нас, в русия и Америка. Дебилите избират държавници по свой образ и подобие.",Истината (нерегистриран),,1,0,2026-06-12 05:57:09
dir.bg,https://dir.bg/topic/predsrochni-izbori-2026,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",2026-06-12 05:57:09,0,4,"Много си прав! Дебилството се подхранва от две поколения ниско образовани хора и дезинформация, която е имало пътеводител. Следващото е, да им се намери пастир, тн вожд! Всичко това е налице в България!",Ххх (нерегистриран),,1,0,2026-06-12 05:57:09
dir.bg,https://dir.bg/topic/predsrochni-izbori-2026,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",2026-06-12 05:57:09,0,5,"А, КАКВО КАЗВА, ПИТА, АНАЛИЗА на г-н Григор Лилов за преминалите ""избори""???? Какво????",ПИТАНЕ (нерегистриран),,2,1,2026-06-12 05:57:09
dir.bg,https://dir.bg/topic/predsrochni-izbori-2026,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",2026-06-12 05:57:09,0,6,Българинът НЕ Е ЕВРОПЕЕЦ А ГАСТАРБАЙДЪР. Огромна разлика е в начина на мислене и действие. Българистанца си остава русороб крепостен руски селяндур,Йййкй (нерегистриран),,8,7,2026-06-12 05:57:09
dir.bg,https://dir.bg/topic/predsrochni-izbori-2026,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",2026-06-12 05:57:09,0,7,"2009 започва ТИКВАТА с мазните си селски врътки за крадене и тъпкане на ЧЕКМЕДЖЕТАТА с Евра и от тогава до ""вчера"" такива дебили като теб му се дупеха да ги ПРАСКА с 200 в дупарата ...да ти Е.П.М....тъпа !! хахаха",Ama (нерегистриран),,3,5,2026-06-12 05:57:09
dir.bg,https://dir.bg/topic/predsrochni-izbori-2026,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",2026-06-12 05:57:09,0,8,ТИ СИ ДОКАЗАТЕЛСТВО ЗА ТОВА КОЕТО СЪМ НАПИСАЛ,Йййкй (нерегистриран),,0,1,2026-06-12 05:57:09
dir.bg,https://dir.bg/topic/predsrochni-izbori-2026,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",2026-06-12 05:57:09,0,9,От 2009година до сега само врътки и схеми ти на мен аз на теб и мизерия за хората,Анонимем (нерегистриран),,7,3,2026-06-12 05:57:09
dir.bg,https://dir.bg/topic/predsrochni-izbori-2026,https://dnes.dir.bg/obshtestvo/trend-za-prav-pat-ot-2009-g-pravitelstvoto-e-s-pozitiven-reyting,"""Тренд"": За пръв път от 2009 г. правителството е с позитивен рейтинг",2026-06-12 05:57:09,0,10,"Е,чЕкаме ги... С това навеждане на Баба европа скоро правителството ще има едноцифрено число подкрепа...",Точен (нерегистриран),,6,3,2026-06-12 05:57:09
