source_site,category_url,article_url,article_title,article_published_at,article_views,comment_index,comment,author,comment_date,likes,dislikes,scraped_at
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,23,И за коя партия копуват,Кибик,преди 5 часа,2,0,2026-04-11 17:04:41
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,22,И за коя партия копуват,Кибик,преди 5 часа,1,0,2026-04-11 17:04:41
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,21,Дали това дело е внесено в съда,Пишете,преди 5 часа,2,0,2026-04-11 17:04:41
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,20,"на зашпад такива ги вкарват в затвора, вие да сте чули някой в БГ затвор? няма и да чуете",анонимен,преди 5 часа,3,0,2026-04-11 17:04:41
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,19,"пари като шума, ама така е като искат да си запазят власта защото от там ще паднат още повече. Бедната душа се продава за 50 евро",анонимен,преди 5 часа,4,0,2026-04-11 17:04:41
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,18,"Забравихте да с споменете вчерашната сводка на служебния министър на МВР: в село .Долни Цибър Монтанско в списъците на гласуващите са включени 187 починали хора. В Пловдив двама души изтеглили от банка 87 хил. евро и ги напъхали в раниците си. Учудените чиновници от банката уведомили органите на МВР. Оказало се, че парите са предназначени за закупуване на гласове. С тези пари може да се закупят 1740-1800 гласа.",анонимен,преди 6 часа,7,0,2026-04-11 17:04:41
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,17,"До до възмутен. Хе-хе-хе, глyпак, че то точно това са кошаревските свидетели - явяват се пред СЪДА с фалшивите си показания. И как МВР доказват пък? Дума срещу дума - нито белязани банкноти, нито отпечатъци от пръсти, нито СРС-та - разговори или видео.",Възмутен,преди 6 часа,0,2,2026-04-11 17:04:41
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,16,"До 17. Много си скаран с истината. Ще намерят начин да им платят - или в деня на изборите, или след това. А някои на инат ще гласуват за Шиши и без пари. Но те само турците му стигат.",Гледна точка,преди 6 часа,0,3,2026-04-11 17:04:41
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,15,"А бе Канев като заявявашразни неща ,що не заявиш за коя партия става въпрос ,а не разни интриганти да дрънкат каквото им падне и да набеждават невинни щото ги мразят?",анонимен,преди 6 часа,5,0,2026-04-11 17:04:41
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,14,"До: ВинетуЕ толкова жалък слуга на Пеевски,че буди само съжаление.",Борисов,преди 6 часа,3,1,2026-04-11 17:04:41
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,13,"До: ВъзмутенДали са показания пред съдия.Шиши да докаже,че не им е плащал и да ги съди за лъжесвидетелство.Ама надали.",До Възмутен,преди 6 часа,1,0,2026-04-11 17:04:43
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,12,"До: Гледна точкаЕ,ще постигнат.Най-малкото е,че тези като не си вземат 50евро,просто не гласуват.Не помниш.ли Пазарджик?Шишо изкупи всичко и ГЕРБ останаха с 6%.",Уааау,преди 6 часа,1,0,2026-04-11 17:04:43
