source_site,category_url,article_url,article_title,article_published_at,article_views,comment_index,comment,author,comment_date,likes,dislikes,scraped_at
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,вчера в 16:43 ч.,732,1,"Първия боклук пукна. Останаха още двама, тяхната няма, тяхната мама. Софиянеца е тук, още пърха. Ама оня гейзер циониста, никакъв го няма. Къде е? Неговата мама, ах неговата мама.",Десятката,10.04.2026 16:45,5,2,2026-04-11 17:23:57
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,вчера в 16:43 ч.,732,2,А в Лондон само 3 секции на 30 000 живущи тук гласоподаватели. Коментиран от #3,Сатана Z,10.04.2026 16:46,1,4,2026-04-11 17:23:57
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,вчера в 16:43 ч.,732,3,"До коментар #2 от ""Сатана Z"": Циганина от Столипиново за гласоподавател ли го имаш? Искам закон да гладуват само тези който в продължение на 15 години са плащали данъци. Келешите за 50 евро и майка си и баща си ще продадат, за да отидат вечерта някоя немита да нае. Бат.",Ехоооо,10.04.2026 16:51,0,0,2026-04-11 17:23:57
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,вчера в 16:43 ч.,732,4,Индиец ша фърлвме за Петрохан партията дету Коментиран от #6,Сичкото,10.04.2026 17:14,0,0,2026-04-11 17:23:57
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,вчера в 16:43 ч.,732,5,Да се купят гласовете на тия хора и то кой да ги купи управляващите партии кой друг ?!?,И каква точно е целта,10.04.2026 17:16,2,0,2026-04-11 17:23:57
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,вчера в 16:43 ч.,732,6,"До коментар #4 от ""Сичкото"": Пакистански студенти по медицина. Вече не са проблем нашите индийци а и истинските.",В мола е пълно с истински индийци и,10.04.2026 17:18,2,0,2026-04-11 17:23:57
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,вчера в 16:43 ч.,732,7,Са напълнили страната ако им дадат права и ще гласуват за пртроханската партия. Най накрая като дръпнем чертата и да не се окажем 10/12 млн.цигани и роми всичко.,На другите избори всичките чужденци дето,10.04.2026 17:25,0,1,2026-04-11 17:23:57
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,вчера в 16:43 ч.,732,9,"На здравеопазването,да се погрижат за санаториумите,че има много болни хора,да обърнат внимание на хигиената,да пръскат за хлебарки да ги поремонтират,защото има неща от Тодорживково време ,които още ги ползват",Министерство,10.04.2026 17:48,0,0,2026-04-11 17:23:57
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,вчера в 16:43 ч.,732,10,Няма да влезнат в НС Възраждане 🚾 Меч 🚾 Итн 🚾 БСП 🚾 ДПС 🚾 герб 🚾 !!!,Дядо Влайчо,11.04.2026 08:31,1,0,2026-04-11 17:23:57
fakti.bg,https://fakti.bg/topic/izbori,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,вчера в 16:43 ч.,732,11,ВЕЛИЧИЕ КЕ СПАСИ БЪЛГАРИЯ 🇧🇬☝️!!! 14,Баба Ванга,11.04.2026 08:34,1,0,2026-04-11 17:23:57
