source_site,category_url,article_url,article_title,article_published_at,article_views,comment_index,comment,author,comment_date,likes,dislikes,scraped_at
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,2026-04-30 16:21:22,,8,"Това предложение означава още повече пари за изборите. Ние, обикновените избиратели предлагаме, да се увеличи срока за депутатите в НС, за президента и за правителството, за да се намалят броя избори, в които участваме. Вместо това предлагаме, служебните правителства да бъдат притеснени да харчат само 1/4 от бюджета на държавата, защото по закон управляват само 3 месеца. Това не е икономия, а икономика.",Е анита хегерланд,3.05.2026 (нд) 13:51:46,0,0,2026-06-11 23:32:40
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,2026-04-30 16:21:22,,7,Свинята желае и финансиране оттам. Казвам само. ^^,Любо от Далеч,30.04.2026 (чт) 20:57:04,3,1,2026-06-11 23:32:40
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,2026-04-30 16:21:22,,6,"Това са турци без грам българско, какво не ти е ясно ? Тия които са изселниците в Турция веят турски знамена, за тях Турция е тяхната родина ,и много от тях дори имат териториални претенции към България. Смениха им имената защото Турция твърдеше ,че в България живеят два милиона турци ,и се готвеше да ни нападне както направи с Гърците. Ние тука си извъртаме историята и пишем глупости ,че били прокудени ,а те правят филми ,че били сключили договор да се изселят ,предпочитам да вярвам на турската историография ,а не на нашите еничарски бастуни които поради някакъв криворазбран антикомунизъм фалшифицират миналото ни.",кр,30.04.2026 (чт) 20:38:03,2,4,2026-06-11 23:32:40
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,2026-04-30 16:21:22,,5,"Шопaрът пеевски както обикновено лицемерничи. Ограничението беше въведено по две причини- да не би в Турция да гласуват за Доган и заради крайно ниската популярност на гербаджиите в чужбина. Естествено на думи голямото Д е бил против за пред електората, но на практика зависимите от него прокараха това безобразие.",sloth,30.04.2026 (чт) 20:26:37,3,2,2026-06-11 23:32:40
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,2026-04-30 16:21:22,,4,"... освен да въведеш графа ""Национално самосъзнание"" в личните документи...",sloth,30.04.2026 (чт) 20:22:30,2,1,2026-06-11 23:32:40
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,2026-04-30 16:21:22,,3,"Нищо няма да кяри тоя. дпс е със затихващи функции, ръководена все от ченгета. Каква специална мотивация може да има един мюсюлманин да храни ченгета, дето поддържаха местни паши?",dabedabe,30.04.2026 (чт) 19:09:46,2,3,2026-06-11 23:32:40
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,2026-04-30 16:21:22,,2,"Това лицемерие на пеевски и борисов не е даже и за коментар. Да видим дали ПБ ще отвори кодекса преди изборите, за да се въведе 100% машинното гласуване, за да се спре с тези хартиени манипулации на свинете и техните слуги!",Libe,30.04.2026 (чт) 17:36:39,7,1,2026-06-11 23:32:40
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html,ДПС предлага да падне ограничението за секциите в чужбина,2026-04-30 16:21:22,,1,"Естествено ,че ще предлага ,фесовете вече залагат на него :/ Ако не бяха ограничени секциите щеше да получи повече гласове :/ На български избори трябва да имат право на глас само хора с българско национално самосъзнание, на изселниците в Турция не им е родина България и не го крият ,те са нещо като пета колона на Турция :/",кр,30.04.2026 (чт) 17:27:57,3,5,2026-06-11 23:32:40
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html,https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html,"Михаела Доцова от ""Прогресивна България"" стана председател на НС с подкрепата на ГЕРБ и ДПС",2026-04-30 11:31:06,,30,""" Полека изчезна, зад облака бял...."" / от шлагер на Йосиф Цанков/. Че е, ""брилянтен"", както сме го запомнили, няма две думи. Затова, въпросът ви е, и общонационален ! Боже, Пази България !",Александър Борисов,4.05.2026 (пн) 3:56:51,0,0,2026-06-11 23:32:51
mediapool.bg,https://www.mediapool.bg/izbori-2026-cat130.html,https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html,"Михаела Доцова от ""Прогресивна България"" стана председател на НС с подкрепата на ГЕРБ и ДПС",2026-04-30 11:31:06,,29,"Спокоен съм, че е ""бивш кадър на БСП"". Иначе, щеше да бъде невероятно!",Александър Борисов,4.05.2026 (пн) 3:49:01,0,0,2026-06-11 23:32:51
