source_site,category_url,article_url,article_title,article_published_at,article_views,comment_index,comment,author,comment_date,likes,dislikes,scraped_at,sentiment
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,23,И за коя партия копуват,Кибик,преди 5 часа,2,0,2026-04-11 17:04:41,Neutral
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,22,И за коя партия копуват,Кибик,преди 5 часа,1,0,2026-04-11 17:04:41,Neutral
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,21,Дали това дело е внесено в съда,Пишете,преди 5 часа,2,0,2026-04-11 17:04:41,Neutral
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,20,"на зашпад такива ги вкарват в затвора, вие да сте чули някой в БГ затвор? няма и да чуете",анонимен,преди 5 часа,3,0,2026-04-11 17:04:41,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,19,"пари като шума, ама така е като искат да си запазят власта защото от там ще паднат още повече. Бедната душа се продава за 50 евро",анонимен,преди 5 часа,4,0,2026-04-11 17:04:41,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,18,"Забравихте да с споменете вчерашната сводка на служебния министър на МВР: в село .Долни Цибър Монтанско в списъците на гласуващите са включени 187 починали хора. В Пловдив двама души изтеглили от банка 87 хил. евро и ги напъхали в раниците си. Учудените чиновници от банката уведомили органите на МВР. Оказало се, че парите са предназначени за закупуване на гласове. С тези пари може да се закупят 1740-1800 гласа.",анонимен,преди 6 часа,7,0,2026-04-11 17:04:41,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,17,"До до възмутен. Хе-хе-хе, глyпак, че то точно това са кошаревските свидетели - явяват се пред СЪДА с фалшивите си показания. И как МВР доказват пък? Дума срещу дума - нито белязани банкноти, нито отпечатъци от пръсти, нито СРС-та - разговори или видео.",Възмутен,преди 6 часа,0,2,2026-04-11 17:04:41,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,16,"До 17. Много си скаран с истината. Ще намерят начин да им платят - или в деня на изборите, или след това. А някои на инат ще гласуват за Шиши и без пари. Но те само турците му стигат.",Гледна точка,преди 6 часа,0,3,2026-04-11 17:04:41,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,15,"А бе Канев като заявявашразни неща ,що не заявиш за коя партия става въпрос ,а не разни интриганти да дрънкат каквото им падне и да набеждават невинни щото ги мразят?",анонимен,преди 6 часа,5,0,2026-04-11 17:04:41,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,14,"До: ВинетуЕ толкова жалък слуга на Пеевски,че буди само съжаление.",Борисов,преди 6 часа,3,1,2026-04-11 17:04:41,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,13,"До: ВъзмутенДали са показания пред съдия.Шиши да докаже,че не им е плащал и да ги съди за лъжесвидетелство.Ама надали.",До Възмутен,преди 6 часа,1,0,2026-04-11 17:04:43,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,12,"До: Гледна точкаЕ,ще постигнат.Най-малкото е,че тези като не си вземат 50евро,просто не гласуват.Не помниш.ли Пазарджик?Шишо изкупи всичко и ГЕРБ останаха с 6%.",Уааау,преди 6 часа,1,0,2026-04-11 17:04:43,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,11,"До дървения шоп. И точно ТИ пък как го разбра това бе, оххлюв невзрачен? Или и ти си от тези, които дишат единствено благодарение на омразата си към Борисов? А, и не си сменяй ника, много ти отива.",Винету,преди 6 часа,2,1,2026-04-11 17:04:43,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,10,"До 13. Кое е да е можело ве, глyпак наивен? Нито нещо съществено ще постигнат, нито това е нещо ново. И преди е имало такива акции, просто преди не се шумеше, а тези сега за всяко измислено задържане тръбят по всички медии.",Гледна точка,преди 6 часа,1,1,2026-04-11 17:04:43,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,9,"А откъде са сигурни, че тези 11 000 евро за купуване на гласове, а не са за заеми? И че тримата кошаревски свидетели не клепат с фалшиви изявления?",Възмутен,преди 6 часа,0,1,2026-04-11 17:04:43,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,8,Можело значи се оказва,анонимен,преди 6 часа,2,1,2026-04-11 17:04:43,Neutral
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,7,Дпс е.... А вие не гласувайте че да не вземе да се промени нещо,ustar,преди 7 часа,6,1,2026-04-11 17:04:43,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,6,"Купуват продават, ама ти да видиш! 6.5 мил. имали право да гласуват!!! Ей там ви цакат най отзад!!!",Батя ви,преди 7 часа,7,0,2026-04-11 17:04:43,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,5,"Браво, добре ги подбраха дилърите на шonapa!!!",Олег,преди 7 часа,9,2,2026-04-11 17:04:43,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,4,А тези предизборни ремонти на пътища ще ги проверите ли финансират ли някой?,Ремонт на пътища,преди 8 часа,5,0,2026-04-11 17:04:43,Neutral
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,3,"Поне при купуването и продаването инфлацията не е толкова голяма. Как не са почнали и по сметка да ги превеждат, че да не ги хващат от полицията?",Ойро,преди 8 часа,2,0,2026-04-11 17:04:44,Neutral
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,2,"добре де, що не казват че толкоз кинти дават само ППДБДЕБИЛИТЕ от Петpoxaн. Щот умник гюро, емо узото и голямото ухо са ппдебедебили?",Казаня от Миндя,преди 8 часа,5,11,2026-04-11 17:04:44,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,11.04.2026 | 07:10 ч.,,1,"Гн Министър Дечев,гн *** Секретар на МВР,защо гн Деректор на ОД МВР гр Смолян гн Пачеджиев не размести полицаите от гр Доспат,те са послушковците на общ кмет гн Елин Радев.Те помагат за копуване на гласове и прикриване на всички далавери.Това трябваше даго направите в началото.Сега е разгара на всички далавери.",анонимен,преди 9 часа,3,1,2026-04-11 17:04:44,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,10.04.2026 | 13:00 ч.,,23,Сега разбрахте ли защо Тиквата и Сви н та не искат да се гласува с машини!,анонимен,преди 20 часа,3,3,2026-04-11 17:04:47,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,10.04.2026 | 13:00 ч.,,22,"До 7. Кметът на Монтана, Златко Живков, НЕ Е от ГЕРБ!",Гербер,преди 20 часа,3,1,2026-04-11 17:04:47,Neutral
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,10.04.2026 | 13:00 ч.,,21,До 21. Точно ТИ пък откъде го знаеш това? А и нали новият министър с поглед на пациент от психиатрична клиника смени всички директори на ОДМВР?,Гражданин,преди 20 часа,3,1,2026-04-11 17:04:47,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,10.04.2026 | 13:00 ч.,,20,"До 20. Не, нищо няма да направи радеф. А и няма за какво.",Гербер,преди 20 часа,3,2,2026-04-11 17:04:47,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,10.04.2026 | 13:00 ч.,,19,МВР е замесено.Те трябва да издирят личните карти на починалите в определен от закона срок.Цялата полиция в монтанско е обвързана с ГЕРБ.,анонимен,преди 21 часа,3,3,2026-04-11 17:04:47,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,10.04.2026 | 13:00 ч.,,18,"Тиквата и *** правеха това 20 години, ама нямаше кой да ги спре. Бяха завладяли цялата Държава. Дано Радев сложи край на това.",анонимен,преди 21 часа,4,3,2026-04-11 17:04:47,Negative
dnes.bg,https://www.dnes.bg/c/604-izbori-2026,https://www.dnes.bg/a/6-krimi/717491-mashtabna-aktsiya-sreshtu-kupeniya-vot-v-montansko-izzeha-dokumenti-na-pochinali,Мащабна акция срещу купения вот в Монтанско: Иззеха документи на починали,10.04.2026 | 13:00 ч.,,17,"До: 1у северозападнал татарстан осемдесе процента от колите над 10 000 лева се водат на умрели инвалиди, тихо ся",анонимен,преди 23 часа,3,0,2026-04-11 17:04:47,Negative
