comment_text,article_url,article_title,comment_sentiment,comment_confidence,comment_dominant_emotion,article_title_sentiment,article_title_confidence,article_title_dominant_emotion,article_sentiment,article_confidence,article_dominant_emotion
И за коя партия копуват,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Неутрален,0.72,любопитство,Негативен,0.78,тревога,Негативен,0.78,тревога
Дали това дело е внесено в съда,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Неутрален,0.95,любопитство,Негативен,0.78,тревога,Негативен,0.78,тревога
"на зашпад такива ги вкарват в затвора, вие да сте чули някой в БГ затвор? няма и да чуете",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.92,възмущение,Негативен,0.78,тревога,Негативен,0.78,тревога
"пари като шума, ама така е като искат да си запазят власта защото от там ще паднат още повече. Бедната душа се продава за 50 евро",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.92,разочарование,Негативен,0.78,тревога,Негативен,0.78,тревога
"Забравихте да с споменете вчерашната сводка на служебния министър на МВР: в село .Долни Цибър Монтанско в списъците на гласуващите са включени 187 починали хора. В Пловдив двама души изтеглили от банка 87 хил. евро и ги напъхали в раниците си. Учудените чиновници от банката уведомили органите на МВР. Оказало се, че парите са предназначени за закупуване на гласове. С тези пари може да се закупят 1740-1800 гласа.",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.88,възмущение,Негативен,0.78,тревога,Негативен,0.78,тревога
"До до възмутен. Хе-хе-хе, глyпак, че то точно това са кошаревските свидетели - явяват се пред СЪДА с фалшивите си показания. И как МВР доказват пък? Дума срещу дума - нито белязани банкноти, нито отпечатъци от пръсти, нито СРС-та - разговори или видео.",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.92,гняв,Негативен,0.78,тревога,Негативен,0.78,тревога
"До 17. Много си скаран с истината. Ще намерят начин да им платят - или в деня на изборите, или след това. А някои на инат ще гласуват за Шиши и без пари. Но те само турците му стигат.",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.86,гняв,Негативен,0.78,тревога,Негативен,0.78,тревога
"А бе Канев като заявявашразни неща ,що не заявиш за коя партия става въпрос ,а не разни интриганти да дрънкат каквото им падне и да набеждават невинни щото ги мразят?",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.92,гняв,Негативен,0.78,тревога,Негативен,0.78,тревога
"До: ВинетуЕ толкова жалък слуга на Пеевски,че буди само съжаление.",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.96,презрение,Негативен,0.78,тревога,Негативен,0.78,тревога
"До: ВъзмутенДали са показания пред съдия.Шиши да докаже,че не им е плащал и да ги съди за лъжесвидетелство.Ама надали.",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.86,възмущение,Негативен,0.78,тревога,Негативен,0.78,тревога
"До: Гледна точкаЕ,ще постигнат.Най-малкото е,че тези като не си вземат 50евро,просто не гласуват.Не помниш.ли Пазарджик?Шишо изкупи всичко и ГЕРБ останаха с 6%.",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.78,разочарование,Негативен,0.78,тревога,Негативен,0.78,тревога
"До дървения шоп. И точно ТИ пък как го разбра това бе, оххлюв невзрачен? Или и ти си от тези, които дишат единствено благодарение на омразата си към Борисов? А, и не си сменяй ника, много ти отива.",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.98,гняв,Негативен,0.78,тревога,Негативен,0.78,тревога
"До 13. Кое е да е можело ве, глyпак наивен? Нито нещо съществено ще постигнат, нито това е нещо ново. И преди е имало такива акции, просто преди не се шумеше, а тези сега за всяко измислено задържане тръбят по всички медии.",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.94,гняв,Негативен,0.78,тревога,Негативен,0.78,тревога
"А откъде са сигурни, че тези 11 000 евро за купуване на гласове, а не са за заеми? И че тримата кошаревски свидетели не клепат с фалшиви изявления?",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.82,недоверие,Негативен,0.78,тревога,Негативен,0.78,тревога
Можело значи се оказва,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Неутрален,0.62,изненада,Негативен,0.78,тревога,Негативен,0.78,тревога
Дпс е.... А вие не гласувайте че да не вземе да се промени нещо,https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.82,разочарование,Негативен,0.78,тревога,Негативен,0.78,тревога
"Купуват продават, ама ти да видиш! 6.5 мил. имали право да гласуват!!! Ей там ви цакат най отзад!!!",https://www.dnes.bg/a/6-krimi/717533-za-kupuvane-na-glasove-obshtinski-savetnik-i-chlen-na-sik-sa-arestuvani,За купуване на гласове: Общински съветник и член на СИК са арестувани,Негативен,0.93,гняв,Негативен,0.78,тревога,Негативен,0.78,тревога
