comment_text,article_url,article_title,comment_sentiment,comment_confidence,comment_dominant_emotion,article_title_sentiment,article_title_confidence,article_title_dominant_emotion,article_sentiment,article_confidence,article_dominant_emotion
"Първия боклук пукна. Останаха още двама, тяхната няма, тяхната мама. Софиянеца е тук, още пърха. Ама оня гейзер циониста, никакъв го няма. Къде е? Неговата мама, ах неговата мама.",https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,Негативен,0.98,гняв,Неутрален,0.88,спокойствие,Неутрален,0.78,спокойствие
А в Лондон само 3 секции на 30 000 живущи тук гласоподаватели. Коментиран от #3,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,Негативен,0.72,недоволство,Неутрален,0.88,спокойствие,Неутрален,0.78,спокойствие
"До коментар #2 от ""Сатана Z"": Циганина от Столипиново за гласоподавател ли го имаш? Искам закон да гладуват само тези който в продължение на 15 години са плащали данъци. Келешите за 50 евро и майка си и баща си ще продадат, за да отидат вечерта някоя немита да нае. Бат.",https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,Негативен,0.98,гняв,Неутрален,0.88,спокойствие,Неутрален,0.78,спокойствие
Индиец ша фърлвме за Петрохан партията дету Коментиран от #6,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,Неутрален,0.72,неутралност,Неутрален,0.88,спокойствие,Неутрален,0.78,спокойствие
Да се купят гласовете на тия хора и то кой да ги купи управляващите партии кой друг ?!?,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,Негативен,0.92,гняв,Неутрален,0.88,спокойствие,Неутрален,0.78,спокойствие
"До коментар #4 от ""Сичкото"": Пакистански студенти по медицина. Вече не са проблем нашите индийци а и истинските.",https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,Негативен,0.76,раздразнение,Неутрален,0.88,спокойствие,Неутрален,0.78,спокойствие
Са напълнили страната ако им дадат права и ще гласуват за пртроханската партия. Най накрая като дръпнем чертата и да не се окажем 10/12 млн.цигани и роми всичко.,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,Негативен,0.93,страх,Неутрален,0.88,спокойствие,Неутрален,0.78,спокойствие
"На здравеопазването,да се погрижат за санаториумите,че има много болни хора,да обърнат внимание на хигиената,да пръскат за хлебарки да ги поремонтират,защото има неща от Тодорживково време ,които още ги ползват",https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,Негативен,0.88,разочарование,Неутрален,0.88,спокойствие,Неутрален,0.78,спокойствие
Няма да влезнат в НС Възраждане 🚾 Меч 🚾 Итн 🚾 БСП 🚾 ДПС 🚾 герб 🚾 !!!,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,Негативен,0.92,отвращение,Неутрален,0.88,спокойствие,Неутрален,0.78,спокойствие
ВЕЛИЧИЕ КЕ СПАСИ БЪЛГАРИЯ 🇧🇬☝️!!! 14,https://fakti.bg/bulgaria/1047511-v-bolnici-i-socialni-domove-shte-ima-sekcii-za-vota-pri-nai-malko-10-izbirateli,В болници и социални домове ще има секции за вота при най-малко 10 избиратели,Позитивен,0.92,надежда,Неутрален,0.88,спокойствие,Неутрален,0.78,спокойствие
