comment,sentiment,confidence,dominant_emotion,article_url
"Това предложение означава още повече пари за изборите. Ние, обикновените избиратели предлагаме, да се увеличи срока за депутатите в НС, за президента и за правителството, за да се намалят броя избори, в които участваме. Вместо това предлагаме, служебните правителства да бъдат притеснени да харчат само 1/4 от бюджета на държавата, защото по закон управляват само 3 месеца. Това не е икономия, а икономика.",Негативен,0.78,разочарование,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html
Свинята желае и финансиране оттам. Казвам само. ^^,Негативен,0.82,презрение,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html
"Това са турци без грам българско, какво не ти е ясно ? Тия които са изселниците в Турция веят турски знамена, за тях Турция е тяхната родина ,и много от тях дори имат териториални претенции към България. Смениха им имената защото Турция твърдеше ,че в България живеят два милиона турци ,и се готвеше да ни нападне както направи с Гърците. Ние тука си извъртаме историята и пишем глупости ,че били прокудени ,а те правят филми ,че били сключили договор да се изселят ,предпочитам да вярвам на турската историография ,а не на нашите еничарски бастуни които поради някакъв криворазбран антикомунизъм фалшифицират миналото ни.",Негативен,0.95,гняв,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html
"Шопaрът пеевски както обикновено лицемерничи. Ограничението беше въведено по две причини- да не би в Турция да гласуват за Доган и заради крайно ниската популярност на гербаджиите в чужбина. Естествено на думи голямото Д е бил против за пред електората, но на практика зависимите от него прокараха това безобразие.",Негативен,0.96,гняв,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html
"... освен да въведеш графа ""Национално самосъзнание"" в личните документи...",Неутрален,0.78,неутралност,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html
"Нищо няма да кяри тоя. дпс е със затихващи функции, ръководена все от ченгета. Каква специална мотивация може да има един мюсюлманин да храни ченгета, дето поддържаха местни паши?",Негативен,0.94,гняв,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html
"Това лицемерие на пеевски и борисов не е даже и за коментар. Да видим дали ПБ ще отвори кодекса преди изборите, за да се въведе 100% машинното гласуване, за да се спре с тези хартиени манипулации на свинете и техните слуги!",Негативен,0.96,гняв,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html
"Естествено ,че ще предлага ,фесовете вече залагат на него :/ Ако не бяха ограничени секциите щеше да получи повече гласове :/ На български избори трябва да имат право на глас само хора с българско национално самосъзнание, на изселниците в Турция не им е родина България и не го крият ,те са нещо като пета колона на Турция :/",Негативен,0.92,гняв,https://www.mediapool.bg/dps-predlaga-da-padne-ogranichenieto-za-sektsiite-v-chuzhbina-news382941.html
""" Полека изчезна, зад облака бял...."" / от шлагер на Йосиф Цанков/. Че е, ""брилянтен"", както сме го запомнили, няма две думи. Затова, въпросът ви е, и общонационален ! Боже, Пази България !",Позитивен,0.72,възхищение,https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html
"Спокоен съм, че е ""бивш кадър на БСП"". Иначе, щеше да бъде невероятно!",Негативен,0.62,скептицизъм,https://www.mediapool.bg/mihaela-dotsova-ot-progresivna-bulgaria-stana-predsedatel-na-ns-s-podkrepata-na-gerb-i-dps-news382914.html
