,sentiment,confidence,dominant_emotion
https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,Негативен,0.82,разочарование
https://www.dnes.bg/a/448-svobodno-vreme/724088-charlz-treti-na-svatba-ozheni-plemenika-si,Позитивен,0.82,радост
https://www.dnes.bg/a/448-svobodno-vreme/724086-hilyadi-fenove-napraviha-nay-golyamata-meksikanska-valna-v-sveta,Позитивен,0.9,радост
https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya,Позитивен,0.82,радост
https://www.dnes.bg/a/1-bulgaria/724082-kam-sv-sinod-200-trakiyski-detsa-da-badat-kanonizirani-v-svettsi,Негативен,0.88,скръб
https://www.dnes.bg/a/448-svobodno-vreme/724081-ishtar-tseliyat-svyat-tryabva-da-znae-za-praznika-na-rozata,Позитивен,0.94,радост
https://www.dnes.bg/a/448-svobodno-vreme/724079-grigor-i-eysa-ot-lazurniya-bryag-v-london,Неутрален,0.86,спокойствие
https://www.dnes.bg/a/1-bulgaria/724078-13-000-na-lazur-dariha-v-macha-na-nadezhdata,Позитивен,0.88,съпричастност
https://www.dnes.bg/a/448-svobodno-vreme/724077-pravoslavnata-tsarkva-otbelyazva-nedelyata-na-vsi-svetii,Неутрален,0.88,спокойствие
https://www.dnes.bg/a/448-svobodno-vreme/723952-zabludi-koito-darzhat-horata-v-neshtastni-vrazki,Негативен,0.86,разочарование
https://www.dnes.bg/a/448-svobodno-vreme/723950-sandali-koito-shte-sa-hit-prez-lyatoto,Позитивен,0.88,ентусиазъм
https://www.dnes.bg/a/448-svobodno-vreme/723996-7-predlozheniya-za-yunski-manikyur-moderni-i-svezhi-vizii-za-letniya-sezon,Позитивен,0.88,вдъхновение
https://www.dnes.bg/a/448-svobodno-vreme/723949-koy-e-tsvetat-na-mesets-yuni-2026,Позитивен,0.93,вдъхновение
