source_site,category_url,article_url,article_title,article_published_at,article_views,comment_index,comment,author,comment_date,likes,dislikes,scraped_at
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,"""Опера на площада"" се отменя, връщат парите за билети",07.06.2026 | 09:13 ч.,,7,"В областните градове има можещи изпълнители и добри състави, винаги когато обикаляме из страната посещаваме било театър било други културни мероприятия.",анонимен,преди 2 минути,0,0,2026-06-07 10:52:18
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,"""Опера на площада"" се отменя, връщат парите за билети",07.06.2026 | 09:13 ч.,,6,Жалко..няма да могат да откраднат от това събитие..,анонимен,преди 29 минути,4,1,2026-06-07 10:52:18
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,"""Опера на площада"" се отменя, връщат парите за билети",07.06.2026 | 09:13 ч.,,5,Каква опера ще се получи на площад с нулева акустика е друг въпрос?,Алекс,преди 56 минути,8,2,2026-06-07 10:52:18
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,"""Опера на площада"" се отменя, връщат парите за билети",07.06.2026 | 09:13 ч.,,4,"Тази сутрин и доста съботи и недели ""Денят започва"" с Георги Любенов, а участниците съвсем в началото на интервютата не поглеждат имената си за по няколко секунди, а на Г.Л. в ""Денят започва"" надписът му стои по 3-те часа!",Зрител,преди 1 час,0,2,2026-06-07 10:52:18
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,"""Опера на площада"" се отменя, връщат парите за билети",07.06.2026 | 09:13 ч.,,3,"Пари за заплатите на шапкарите от НАТО има, за опера няма!",Нибелунг,преди 1 час,10,2,2026-06-07 10:52:18
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,"""Опера на площада"" се отменя, връщат парите за билети",07.06.2026 | 09:13 ч.,,2,"Какви опери на площада, какви пет евро. То да видим утре дали ще преведат пенсиите.",Пнесионер-баритон,преди 1 час,10,5,2026-06-07 10:52:18
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724089-opera-na-ploshtada-se-otmenya-vrashtat-parite-za-bileti,"""Опера на площада"" се отменя, връщат парите за билети",07.06.2026 | 09:13 ч.,,1,"""Пускай Мангарангааааааааааа!""",Кауфланд ЕООД,преди 1 час,6,5,2026-06-07 10:52:18
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724088-charlz-treti-na-svatba-ozheni-plemenika-si,"Чарлз Трети на сватба, ожени племеника си",07.06.2026 | 08:58 ч.,,3,Браво на Чарлз Три!,анонимен,преди 17 минути,0,1,2026-06-07 10:52:21
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724088-charlz-treti-na-svatba-ozheni-plemenika-si,"Чарлз Трети на сватба, ожени племеника си",07.06.2026 | 08:58 ч.,,2,тоя да си яхва камилата и да го няма на света,анонимен,преди 56 минути,3,0,2026-06-07 10:52:21
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724088-charlz-treti-na-svatba-ozheni-plemenika-si,"Чарлз Трети на сватба, ожени племеника си",07.06.2026 | 08:58 ч.,,1,до 1 в момента сме си баш такива,анонимен,преди 1 час,2,0,2026-06-07 10:52:21
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724086-hilyadi-fenove-napraviha-nay-golyamata-meksikanska-valna-v-sveta,Хиляди фенове направиха най-голямата мексиканска вълна в света,07.06.2026 | 08:29 ч.,,1,Видео?!,анонимен,преди 12 минути,0,0,2026-06-07 10:52:23
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya,БДЖ пуска днес историческа ретро мотриса по линията София – Банкя,07.06.2026 | 07:44 ч.,,9,"Всичко в БДЖ е ретро, най вече кадрите...",Красимир Д.,преди 13 минути,0,0,2026-06-07 10:52:26
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya,БДЖ пуска днес историческа ретро мотриса по линията София – Банкя,07.06.2026 | 07:44 ч.,,8,"Tова е тактично напомняне на ерлектората, че нови влакове няма и няма да имаааа.....","Да де, ама...",преди 49 минути,0,0,2026-06-07 10:52:26
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya,БДЖ пуска днес историческа ретро мотриса по линията София – Банкя,07.06.2026 | 07:44 ч.,,7,Същия като повечето влакове,анонимен,преди 1 час,0,0,2026-06-07 10:52:26
dnes.bg,https://www.dnes.bg/c/448-svobodno-vreme,https://www.dnes.bg/a/448-svobodno-vreme/724083-bdzh-puska-dnes-istoricheska-retro-motrisa-po-liniyata-sofiya-bankya,БДЖ пуска днес историческа ретро мотриса по линията София – Банкя,07.06.2026 | 07:44 ч.,,6,И толкова ли е трудно да се качи снимка на мотрисата вместо на някакви вагони?,Алекс,преди 1 час,3,0,2026-06-07 10:52:26
